ngAnthonyy,RT @Google: Today's #GoogleDoodle pays homage to Dr. Asima Chatterjee and her groundbreaking contributions to medicine →… ,0
pokemanLB,A wild Misdreavus has appeared! Available until 14:18:40 (29m 55s). https://t.co/Lq08FtCY7N,0
janet_ren,"@ABlackTweeter @washingtonpost @slpng_giants @facebook @Google @amazon Avoid g..gl use DuckDuckGo, never had FB, do… https://t.co/x7Ly16EyzY",0
PoGoWheeling,lvl 3 raid! Hatches at 16:44:35 (55m 50s). https://t.co/8lurHSX2et,0
KljajicBosko,OMG!I am playing the old Nokia Bounce On my Android!!!-&gt;https://t.co/AbcBUEN1h1,0
PointLomaSurfs,Cabrillo Lighthouse: Mareep ♀ til 14:18:25(29m 38s). https://t.co/pkszdusWgb,0
ajust0419,"@jemelehill He cheated and the truth is coming out
https://t.co/kgDPvlUQxc",0
vic_map,"?% ?CP Machamp! (?,?,?) 
 unknown / unknown 
 Available until 02:18:21pm (29m 35s). https://t.co/4UfncM9rEP",0
MOVEFORWARDHUGE,RT @CohenTisha: @TruthinGov2016 @pamelakarnbach @RealMattCouch @FITE4THEUSERS https://t.co/htVQBrT5Gu election rigging.they did it in the u…,0
chunkychunky13,New Event Now On. GET Rank S Monsters. App Store: https://t.co/ewwxJonily Google Play: https://t.co/ULWd7i6uPZ #DarkSummoner,0
PGANVARVACity,Dratini♀ Dragon Breath/Twister (IV: 87% - CP: 498 - L: 21) until 05:18:43pm  https://t.co/KpThwsUhcE,0
PoGoDCDowntown,Dratini♂ Dragon Breath/Aqua Tail (IV: 71% - CP: 180 - L: 8) until 05:17:20pm  https://t.co/qvUAKwYdMo,0
PowayHills,Poway: Charizard ♂ til 14:11:59(23m 10s). https://t.co/pdHspyHEvK,0
av_mohanty,"RT @floweraldehyde: She developed various chemotherapeutic drugs, antimalarials and anti-epilepsy drugs too. One of the greatest Indian… ",0
DeannaThoms,_______??:#https://plus.google.com/u/0/117500840345878751442/posts/UVHk96zZn9E,0
